slug,name,category,short_desc,long_desc,price_pkr,compare_at_pkr,image_url,badge,in_stock,brand,gtin,mpn,condition_gs,availability_gs,google_product_category,product_type,currency
pro-resistance-band-set,Pro Resistance Band Set,Recovery Essentials,"Set of 5 premium resistance bands with varied levels.","Five graduated resistance levels in a durable, non-slip fabric construction. Built for structured rehab programs and progressive home strengthening.",8500,,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=900&q=80,,true,Physionnisa,,RB-SET-05,new,in stock,"Sporting Goods > Exercise & Fitness > Exercise Bands","Recovery Essentials > Bands",PKR
high-density-foam-roller,High-Density Foam Roller,Recovery Essentials,"Eco-friendly textured roller for deep tissue massage.","A dense, textured foam roller designed to release fascia and speed recovery between sessions. Clinic-grade density, home-friendly size.",9800,,https://images.unsplash.com/photo-1518611012118-696072aa579a?w=900&q=80,,true,Physionnisa,,FR-HD-01,new,in stock,"Sporting Goods > Exercise & Fitness > Massage Tools","Recovery Essentials > Massage",PKR
microwavable-heat-pack,Microwavable Heat Pack,Recovery Essentials,"Lavender-scented wand bag for natural pain relief.","Reusable, lavender-scented heat therapy for cramping, tension, and post-session soreness. Microwave-safe and freezer-safe for dual therapy.",6900,,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=900&q=80,,true,Physionnisa,,HP-LAV-01,new,in stock,"Health & Beauty > Health Care > Hot & Cold Therapy","Recovery Essentials > Heat Therapy",PKR
lacrosse-massage-ball-duo,Lacrosse Massage Ball Duo,Recovery Essentials,"Targeted trigger point release for glutes and back.","A pair of firm rubber lacrosse balls for pinpoint myofascial release — glutes, upper back, and feet. Textured grip for use against walls or floor.",5100,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=900&q=80,,true,Physionnisa,,LMB-DUO-01,new,in stock,"Sporting Goods > Exercise & Fitness > Massage Tools","Recovery Essentials > Massage",PKR
kinesiology-tape-multi-pack,Kinesiology Tape Multi-Pack,Recovery Essentials,"Breathable, water-resistant support tape.","Latex-free kinesiology tape in a 3-roll pack. Breathable and water-resistant for multi-day wear, supporting joints and muscles during activity.",11800,,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=900&q=80,,true,Physionnisa,,KT-MULTI-01,new,in stock,"Health & Beauty > Health Care > First Aid > Tape","Recovery Essentials > Support",PKR
cold-therapy-wrap,Cold Therapy Wrap,Recovery Essentials,"Compression gel pack for acute injuries.","An adjustable compression wrap with a reusable gel pack for acute swelling, sprains, and post-treatment inflammation.",7900,,https://images.unsplash.com/photo-1519824145371-296894a0daa9?w=900&q=80,,true,Physionnisa,,CTW-01,new,in stock,"Health & Beauty > Health Care > Hot & Cold Therapy","Recovery Essentials > Heat Therapy",PKR
foam-roller-mini,Foam Roller Mini,Recovery Essentials,"Travel-sized roller for on-the-go maintenance.","A compact 30cm foam roller that fits in a gym bag or suitcase — the same clinic-grade density as our full-size roller.",5600,6500,https://images.unsplash.com/photo-1518611012118-696072aa579a?w=900&q=80,,true,Physionnisa,,FR-MINI-01,new,in stock,"Sporting Goods > Exercise & Fitness > Massage Tools","Recovery Essentials > Massage",PKR
pelvic-floor-trainer,Physionnisa Premium Pelvic Floor Trainer,Clinical Equipment,"App-connected biofeedback trainer for pelvic floor strength.","An intelligent, medical-grade solution designed for the modern woman. Strengthen, tone, and track your progress with biofeedback technology integrated with our professional guidance.",24500,28000,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=900&q=80,Physiotherapist Recommended,true,Physionnisa,,PFT-PREMIUM-01,new,in stock,"Health & Beauty > Health Care > Fitness & Nutrition > Physical Therapy Equipment","Clinical Equipment > Pelvic Health",PKR
dual-channel-tens-unit,Dual Channel TENS Unit,Clinical Equipment,"Professional muscle stimulator for pain management.","Clinic-grade dual channel TENS/EMS unit with programmable intensity curves, designed under physiotherapist guidance for at-home pain management.",41000,,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=900&q=80,Professional,true,Physionnisa,,TENS-DC-01,new,in stock,"Health & Beauty > Health Care > Medical Supplies > TENS Units","Clinical Equipment > Pain Management",PKR
posture-corrector-pro,Posture Corrector Pro,Clinical Equipment,"Breathable medical-grade brace for thoracic alignment.","A breathable, adjustable brace engineered to gently retrain thoracic posture during desk work, recovery, and daily movement.",12800,,https://images.unsplash.com/photo-1599447462773-4b04d3c40b9c?w=900&q=80,,true,Physionnisa,,PC-PRO-01,new,in stock,"Health & Beauty > Health Care > Medical Supplies > Braces & Supports","Clinical Equipment > Posture",PKR
